Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.4566E7 ; 0.8545981
1.4653E7 ; 0.8801097
1.4694E7 ; 0.8945456
1.475E7 ; 0.8989307
1.4767E7 ; 0.8973459
1.4807E7 ; 0.9021438
1.4812E7 ; 0.9039936
1.4837E7 ; 0.9075423
1.4863E7 ; 0.911329
1.4887E7 ; 0.9133517
1.4888E7 ; 0.9133777
1.4892E7 ; 0.9190995
1.4906E7 ; 0.9213208
1.4909E7 ; 0.9219146
1.4927E7 ; 0.9198577
1.4954E7 ; 0.9193623
1.4962E7 ; 0.9188059
1.4996E7 ; 0.9230262
1.5E7 ; 0.917548
1.5006E7 ; 0.9194399
1.5045E7 ; 0.9285723
1.5053E7 ; 0.9321515
1.5093E7 ; 0.9415881
1.52247E7 ; 0.9562263
1.5248E7 ; 0.9588161
1.5263E7 ; 0.958981
1.52634E7 ; 0.9590381
1.5448E7 ; 0.9853929
1.5477E7 ; 0.9866832
1.55E7 ; 0.9888609
1.5553E7 ; 0.993887
1.5731E7 ; 1.006293
1.5966E7 ; 1.025478
1.597E7 ; 1.031307
1.599E7 ; 1.028462
1.6E7 ; 1.033794
1.6053E7 ; 1.018894
1.6068E7 ; 1.016618
1.6256E7 ; 0.9836825
1.63081E7 ; 0.9673
1.6347E7 ; 0.9550681
1.634745E7 ; 0.9550568
1.6443E7 ; 0.9526551
1.65E7 ; 0.9489244
1.6532E7 ; 0.9469205
1.6553E7 ; 0.9429946
1.6695E7 ; 0.9195066
1.682E7 ; 0.9085254
1.6824E7 ; 0.9073067
1.6974E7 ; 0.8965813
